msgctxt,msgid,msgid_plural,msgstr[en],msgstr[ja],msgstr[zh-CN],msgstr[zh-TW],references
",리스본",리스본,,Lisboa,リスボン,里斯本,里斯本,../cms/textset/Discovery.textset:3177
",세비야",세비야,,Seville,セビリア,塞维尔,塞維爾,../cms/textset/Discovery.textset:3293
",포르투",포르투,,Porto,ポルト,奥波多,奧波多,../cms/textset/Discovery.textset:3483
",칸디아",칸디아,,Candia,カンディア,甘地亚,甘地亞,../cms/textset/Discovery.textset:3403
",고아",고아,,Goa,ゴア,果阿,果阿,../cms/textset/Discovery.textset:3115
",과테말라",과테말라,,Guatemala,グアテマラ,危地马拉,瓜地馬拉,../cms/textset/Discovery.textset:3117
",괌",괌,,Guam,グアム,关岛,關島,../cms/textset/Discovery.textset:3119
",사우스사이드",사우스사이드,,Southside,サウスサイド,绍斯赛德,紹斯賽德,../cms/textset/Discovery.textset:3123
",그로닝겐",그로닝겐,,Groningen,フローニンゲン,格罗宁根,格羅寧根,../cms/textset/Discovery.textset:3517
",나가사키",나가사키,,Nagasaki,長崎,长崎,長崎,../cms/textset/Discovery.textset:3125
",나르비크",나르비크,,Narvik,ナルヴィク,纳尔维克,那維克,../cms/textset/Discovery.textset:3269
",나사우",나사우,,Nassau,ナッソー,拿索,拿索,../cms/textset/Discovery.textset:3379
",나탈",나탈,,Natal,ナタール,纳塔尔,納塔爾,../cms/textset/Discovery.textset:3127
",나폴리",나폴리,,Naples,ナポリ,拿坡里,拿坡里,../cms/textset/Discovery.textset:3129
",낭트",낭트,,Nantes,ナント,南特,南特,../cms/textset/Discovery.textset:3131
",누탁",누탁,,Nutak,ヌタック,努塔克,努塔克,../cms/textset/Discovery.textset:3133
",니코시아",니코시아,,Nicosia,ニコシア,尼科西亚,尼克西亞,../cms/textset/Discovery.textset:3135
",다바오",다바오,,Davao,ダバオ,达沃,達沃,../cms/textset/Discovery.textset:3137
",단수이",단수이,,Tamsui,淡水,淡水,淡水,../cms/textset/Discovery.textset:3139
",그단스크",그단스크,,Gdańsk,グダニスク,但泽,但澤,../cms/textset/Discovery.textset:3121
",더블린",더블린,,Dublin,ダブリン,都柏林,都柏林,../cms/textset/Discovery.textset:3141
",도버",도버,,Dover,ドーバー,多佛,多佛,../cms/textset/Discovery.textset:3147
",도파르",도파르,,Dhofar,ドファール,杜法尔,杜法爾,../cms/textset/Discovery.textset:3149
",두알라",두알라,,Douala,ドゥアラ,杜阿拉,杜阿拉,../cms/textset/Discovery.textset:3153
",디우",디우,,Diu,ディヴ,第乌,第烏,../cms/textset/Discovery.textset:3155
",딕손",딕손,,Dikson,ディクソン,迪克森,迪克森,../cms/textset/Discovery.textset:3157
",딜리",딜리,,Dili,ディリ,帝力,帝利,../cms/textset/Discovery.textset:3159
",라구사",라구사,,Ragusa,ラグーザ,拉古萨,拉古薩,../cms/textset/Discovery.textset:3161
",라스팔마스",라스팔마스,,Las Palmas,ラスパルマス,拉斯帕尔马斯,拉斯帕爾馬斯,../cms/textset/Discovery.textset:3163
",런던",런던,,London,ロンドン,伦敦,倫敦,../cms/textset/Discovery.textset:3165
",롭부리",롭부리,,Lopburi,ロッブリー,洛布里,洛布里,../cms/textset/Discovery.textset:3167
",루안다",루안다,,Luanda,ルアンダ,罗安达,羅安達,../cms/textset/Discovery.textset:3169
",덕원",덕원,,Deokwon,徳源,德源,德源,../cms/textset/Discovery.textset:3143
",뤼베크",뤼베크,,Lübeck,リューベック,卢贝克,盧貝克,../cms/textset/Discovery.textset:3171
",리가",리가,,Riga,リガ,里加,里加,../cms/textset/Discovery.textset:3173
",리마",리마,,Lima,リマ,利马,利馬,../cms/textset/Discovery.textset:3175
",리우데자네이루",리우데자네이루,,Rio de Janeiro,リオデジャネイロ,里约热内卢,里約熱內盧,../cms/textset/Discovery.textset:3179
",마닐라",마닐라,,Manila,マニラ,马尼拉,馬尼拉,../cms/textset/Discovery.textset:3181
",마데이라",마데이라,,Madeira,マデイラ諸島,马德拉,馬德拉,../cms/textset/Discovery.textset:3183
",마라카이보",마라카이보,,Maracaibo,マラカイボ,马拉开波,馬拉開波,../cms/textset/Discovery.textset:3185
",포를라마르",포를라마르,,Porlamar,ポルラマル,波拉马尔,波拉馬爾,../cms/textset/Discovery.textset:3187
",마르세유",마르세유,,Marseille,マルセイユ,马赛,馬賽,../cms/textset/Discovery.textset:3189
",마사와",마사와,,Massawa,マッサワ,马萨瓦,馬薩瓦,../cms/textset/Discovery.textset:3191
",마실리파트남",마실리파트남,,Masulipatnam,マチリーパトナム,默苏利珀德姆,默蘇利珀德姆,../cms/textset/Discovery.textset:3193
",마카사르",마카사르,,Makassar,マカッサル,望加锡,望加錫,../cms/textset/Discovery.textset:3195
",마카오",마카오,,Macau,マカオ,澳门,澳門,../cms/textset/Discovery.textset:3197
",말라가",말라가,,Málaga,マラガ,马拉加,馬拉加,../cms/textset/Discovery.textset:3199
",말라카",말라카,,Malacca,マラッカ,马六甲,馬六甲,../cms/textset/Character.textset:2086
",말린디",말린디,,Malindi,マリンディ,马林迪,麻林地,../cms/textset/Discovery.textset:3203
",메리다",메리다,,Mérida,メリダ,梅里达,梅里達,../cms/textset/Discovery.textset:3205
",모가디슈",모가디슈,,Mogadishu,モガディシュ,摩加迪沙,摩加迪休,../cms/textset/Discovery.textset:3207
",모잠비크",모잠비크,,Mozambique,モザンビーク,莫桑比克,莫三比克,../cms/textset/Discovery.textset:3209
",몸바사",몸바사,,Mombasa,モンバサ,蒙巴萨,蒙巴薩,../cms/textset/Discovery.textset:3211
",몽펠리에",몽펠리에,,Montpellier,モンペリエ,蒙彼利埃,蒙彼利埃,../cms/textset/Discovery.textset:3213
",무스카트",무스카트,,Muscat,マスカット,马斯喀特,馬斯喀特,../cms/textset/Discovery.textset:3215
",바르셀로나",바르셀로나,,Barcelona,バルセロナ,巴塞隆纳,巴塞隆納,../cms/textset/Discovery.textset:3217
",배서스트",배서스트,,Bathurst,バサースト,巴瑟斯特,巴瑟斯特,../cms/textset/Discovery.textset:3235
",바스라",바스라,,Basrah,バスラ,巴士拉,巴士拉,../cms/textset/Discovery.textset:3219
",바이아",바이아,,Bahia,バイーア,巴伊亚,巴伊亞,../cms/textset/Discovery.textset:3221
",반다",반다,,Banda,バンダ,班达,班達,../cms/textset/Discovery.textset:3223
",반자르마신",반자르마신,,Banjarmasin,バンジェルマシン,马辰,馬辰,../cms/textset/Discovery.textset:3225
",발렌시아",발렌시아,,Valencia,バレンシア,瓦伦西亚,瓦倫西亞,../cms/textset/Discovery.textset:3227
",발파라이소",발파라이소,,Valparaíso,バルパライソ,瓦尔帕莱索,瓦爾帕萊索,../cms/textset/Discovery.textset:3229
",팡칼피낭",팡칼피낭,,Pangkal Pinang,パンカルピナン,槟港,檳港,../cms/textset/Discovery.textset:3231
",배로우",배로우,,Barrow,バロー,巴罗,巴羅,../cms/textset/Discovery.textset:3233
",베냉",베냉,,Benin,ベナン,贝宁,貝南,../cms/textset/Discovery.textset:3237
",베네치아",베네치아,,Venice,ヴェネツィア,威尼斯,威尼斯,../cms/textset/Discovery.textset:3239
",베라크루스",베라크루스,,Veracruz,ベラクルス,韦拉克鲁斯,維拉克斯,../cms/textset/Discovery.textset:3241
",베르겐",베르겐,,Bergen,ベルゲン,卑尔根,卑爾根,../cms/textset/Discovery.textset:3243
",베이루트",베이루트,,Beirut,ベイルート,贝鲁特,貝魯特,../cms/textset/Discovery.textset:3245
",벵가지",벵가지,,Benghazi,ベンガジ,班加西,班加西,../cms/textset/Discovery.textset:3247
",벵겔라",벵겔라,,Benguela,ベンゲラ,本格拉,本格拉,../cms/textset/Discovery.textset:3249
",보르도",보르도,,Bordeaux,ボルドー,波尔多,波爾多,../cms/textset/Discovery.textset:3251
",코하셋",코하셋,,Cohasset,コハセット,科哈塞特,科哈塞特,../cms/textset/Discovery.textset:3253
",동래",동래,,Dongnae,東萊,东莱,東萊,../cms/textset/Discovery.textset:3151
",부에노스아이레스",부에노스아이레스,,Buenos Aires,ブエノスアイレス,布宜诺斯艾利斯,布宜諾斯艾利斯,../cms/textset/Discovery.textset:3255
",북경",북경,,Peking,北京,北京,北京,../cms/textset/Discovery.textset:3257
",브레멘",브레멘,,Bremen,ブレーメン,不来梅,不來梅,../cms/textset/Discovery.textset:3259
",브루나이",브루나이,,Brunei,ブルネイ,文莱,汶萊,../cms/textset/Discovery.textset:3261
",브리스톨",브리스톨,,Bristol,ブリストル,布里斯托尔,布里斯托爾,../cms/textset/Discovery.textset:3263
",비사우",비사우,,Bissau,ビサウ,比绍,比紹,../cms/textset/Discovery.textset:3265
",비스뷔",비스뷔,,Visby,ヴィスビュー,维斯比,維斯比,../cms/textset/Discovery.textset:3267
",사마라이",사마라이,,Samarai,サマライ,萨马赖,薩馬賴,../cms/textset/Discovery.textset:3273
",사사리",사사리,,Sassari,サッサリ,萨沙里,薩沙里,../cms/textset/Discovery.textset:3275
",사카이",사카이,,Sakai,堺,堺,堺,../cms/textset/Discovery.textset:3277
",산토도밍고",산토도밍고,,Santo Domingo,サントドミンゴ,圣多明各,聖多明哥,../cms/textset/Discovery.textset:3279
",산티아고",산티아고,,Santiago de Cuba,サンティアゴ,圣地亚哥,聖地牙哥,../cms/textset/Discovery.textset:3281
",산후안",산후안,,San Juan,サンフアン,圣胡安,聖胡安,../cms/textset/Discovery.textset:3283
",테살로니키",테살로니키,,Thessaloniki,テッサロニキ,萨洛尼卡,薩洛尼卡,../cms/textset/Discovery.textset:3445
",상투메",상투메,,São Tomé,サントメ,圣多美,聖多美,../cms/textset/Discovery.textset:3285
",상트페테르부르크",상트페테르부르크,,Saint Petersburg,サンクトペテルブルク,圣彼得堡,聖彼得堡,../cms/textset/Discovery.textset:3287
",오론",오론,,Ohlone,オローニ,奥龙尼,歐隆,../cms/textset/Discovery.textset:3289
",바르나",바르나,,Varna,ヴァルナ,瓦尔纳,瓦爾納,../cms/textset/Discovery.textset:3431
",세우타",세우타,,Ceuta,セウタ,休达,休達,../cms/textset/Discovery.textset:3295
",엘미나",엘미나,,Elmina,エルミナ,埃尔米纳,埃爾米納,../cms/textset/Discovery.textset:3297
",소코트라",소코트라,,Socotra,ソコトラ島,索科特拉,索科特拉,../cms/textset/Discovery.textset:3501
",소팔라",소팔라,,Sofala,ソファラ,索法拉,索法拉,../cms/textset/Discovery.textset:3299
",수라바야",수라바야,,Surabaya,スラバヤ,泗水,泗水,../cms/textset/Discovery.textset:3301
",수에즈",수에즈,,Suez,スエズ,苏伊士,蘇伊士,../cms/textset/Discovery.textset:3303
",스톡홀름",스톡홀름,,Stockholm,ストックホルム,斯德哥尔摩,斯德哥爾摩,../cms/textset/Discovery.textset:3305
",시라쿠사",시라쿠사,,Syracuse,シラクサ,锡拉库萨,錫拉庫薩,../cms/textset/Discovery.textset:3309
",시라즈",시라즈,,Shiraz,シーラーズ,设拉子,夕拉玆,../cms/textset/Discovery.textset:3307
",시에라리온",시에라리온,,Sierra Leone,シエラレオネ,塞拉利昂,獅子山,../cms/textset/Discovery.textset:3311
",실론",실론,,Ceylon,コッテ,锡兰,錫蘭,../cms/textset/Discovery.textset:3313
",아덴",아덴,,Aden,アデン,亚丁,亞丁,../cms/textset/Discovery.textset:3315
",아르긴",아르긴,,Arguin,アルギン,阿尔金,阿爾金,../cms/textset/Discovery.textset:3317
",아르한겔스크",아르한겔스크,,Arkhangelsk,アルハンゲリスク,阿尔汉格尔斯克,阿爾漢格爾斯克,../cms/textset/Discovery.textset:3319
",아비장",아비장,,Abidjan,アビジャン,阿比让,阿比讓,../cms/textset/Discovery.textset:3323
",아조레스",아조레스,,Azores,アゾレス諸島,亚速尔,亞速爾,../cms/textset/Discovery.textset:3487
",아체",아체,,Aceh,アチェ,亚齐,亞齊,../cms/textset/Discovery.textset:3325
",아카풀코",아카풀코,,Acapulco,アカプルコ,阿卡普尔科,阿卡普高,../cms/textset/Discovery.textset:3327
",아테네",아테네,,Athens,アテネ,雅典,雅典,../cms/textset/Discovery.textset:3329
",안코나",안코나,,Ancona,アンコーナ,安科纳,安科納,../cms/textset/Discovery.textset:3331
",타이난",타이난,,Tainan,台南,安平,安平,../cms/textset/Discovery.textset:3441
",알렉산드리아",알렉산드리아,,Alexandria,アレクサンドリア,亚历山德里亚,亞歷山大,../cms/textset/Discovery.textset:3335
",알제",알제,,Algiers,アルジェ,阿尔及尔,阿爾及爾,../cms/textset/Discovery.textset:3337
",암본",암본,,Ambon,アンボイナ,安汶,安汶,../cms/textset/Discovery.textset:3339
",암스테르담",암스테르담,,Amsterdam,アムステルダム,阿姆斯特丹,阿姆斯特丹,../cms/textset/Discovery.textset:3341
",앤트워프",앤트워프,,Antwerp,アントワープ,安特卫普,安特衛普,../cms/textset/Discovery.textset:3333
",야파",야파,,Jaffa,ヤッファ,雅法,雅法,../cms/textset/Discovery.textset:3343
",어널래스카",어널래스카,,Unalaska,ウナラスカ,乌纳拉斯卡,烏納拉斯卡,../cms/textset/Discovery.textset:3345
",에도",에도,,Edo,江戸,江户,江戶,../cms/textset/Discovery.textset:3347
",에든버러",에든버러,,Edinburgh,エディンバラ,爱丁堡,愛丁堡,../cms/textset/Discovery.textset:3349
",오데사",오데사,,Odesa,オデッサ,敖德萨,奧德薩,../cms/textset/Discovery.textset:3355
",오슬로",오슬로,,Oslo,オスロ,奥斯陆,奧斯陸,../cms/textset/Discovery.textset:3357
",왕거누이",왕거누이,,Whanganui,ワンガヌイ,旺加努伊,旺加努伊,../cms/textset/Discovery.textset:3359
",우수아이아",우수아이아,,Ushuaia,ウシュアイア,乌斯怀亚,烏斯懷亞,../cms/textset/Discovery.textset:3361
",연운",연운,,Yanyun,燕雲,燕云,燕雲,../cms/textset/Discovery.textset:3351
",빌렘스타트",빌렘스타트,,Willemstad,ウィレムスタッド,威廉斯塔德,威廉斯塔德,../cms/textset/Discovery.textset:3271
",이스탄불",이스탄불,,Istanbul,イスタンブール,伊斯坦堡,伊斯坦堡,../cms/textset/Discovery.textset:3363
",자다르",자다르,,Zadar,ザラ,扎达尔,札達爾,../cms/textset/Discovery.textset:3365
",포트로열",포트로열,,Port Royal,ポート・ロイヤル,罗亚尔港,皇家港,../cms/textset/Discovery.textset:3435
",자카르타",자카르타,,Jakarta,ジャカルタ,雅加达,雅加達,../cms/textset/Discovery.textset:3367
",잔지바르",잔지바르,,Zanzibar,ザンジバル,桑给巴尔,桑給巴爾,../cms/textset/Discovery.textset:3369
",서안",서안,,Chang'an,長安,长安,長安,../cms/textset/Discovery.textset:3291
",제노바",제노바,,Genoa,ジェノヴァ,热那亚,熱那亞,../cms/textset/Discovery.textset:3371
",제다",제다,,Jeddah,ジッダ,吉达,吉達,../cms/textset/Discovery.textset:3373
",중경",중경,,Chongqing,重慶,重庆,重慶,../cms/textset/Discovery.textset:3377
",프레이노코르",프레이노코르,,Prey Nokor,プレイノコール,嘉定,嘉定,../cms/textset/Discovery.textset:3491
",천주",천주,,Quanzhou,泉州,泉州,泉州,../cms/textset/Discovery.textset:3381
",카라카스",카라카스,,Caracas,カラカス,加拉卡斯,加拉卡斯,../cms/textset/Discovery.textset:3383
",카르타헤나",카르타헤나,,Cartagena,カルタヘナ,卡塔赫纳,迦太基,../cms/textset/Discovery.textset:3385
",카리비브",카리비브,,Karibib,カリビブ,卡里比布,卡里比布,../cms/textset/Discovery.textset:3387
",카보베르데",카보베르데,,Cape Verde,カーボベルデ,佛得角,維德角,../cms/textset/Discovery.textset:3389
",카사블랑카",카사블랑카,,Casablanca,カサブランカ,卡萨布兰卡,卡薩布蘭加,../cms/textset/Discovery.textset:3391
",카옌",카옌,,Cayenne,カイエンヌ,卡宴,卡宴,../cms/textset/Discovery.textset:3393
",카이로",카이로,,Cairo,カイロ,开罗,開羅,../cms/textset/Discovery.textset:3395
",카카투와",카카투와,,Kakatuwah,カカトゥア,卡卡杜,卡卡圖瓦,../cms/textset/Discovery.textset:3397
",도하",도하,,Doha,ドーハ,多哈,多哈,../cms/textset/Discovery.textset:3399
",케르치",케르치,,Kerch,ケルチ,刻赤,刻赤,../cms/textset/Discovery.textset:3415
",칼레",칼레,,Calais,カレー,加莱,加萊,../cms/textset/Discovery.textset:3405
",칼리아리",칼리아리,,Cagliari,カリアリ,卡利亚里,卡利亞里,../cms/textset/Discovery.textset:3407
",칼비",칼비,,Calvi,カルヴィ,卡尔维,卡爾維,../cms/textset/Discovery.textset:3409
",캘리컷",캘리컷,,Kozhikode,カリカット,卡利卡特,卡利卡特,../cms/textset/Discovery.textset:3411
",캘커타",캘커타,,Kolkata,カルカッタ,加尔各答,加爾各答,../cms/textset/Discovery.textset:3413
",케이프타운",케이프타운,,Cape Town,ケープタウン,开普敦,開普敦,../cms/textset/Discovery.textset:3401
",켈리마느",켈리마느,,Quelimane,ケリマネ,克利马内,克利馬內,../cms/textset/Discovery.textset:3417
",코친",코친,,Kochi,コーチ,科钦,科欽,../cms/textset/Discovery.textset:3419
",코콜라",코콜라,,Kokkola,コッコラ,科科拉,科科拉,../cms/textset/Discovery.textset:3421
",코펜하겐",코펜하겐,,Copenhagen,コペンハーゲン,哥本哈根,哥本哈根,../cms/textset/Discovery.textset:3423
",코피아포",코피아포,,Copiapó,コピアポ,科皮亚波,科皮亞波,../cms/textset/Discovery.textset:3425
",가리",가리,,K'gari,ガリ,芬瑟岛,芬瑟島,../cms/textset/Discovery.textset:3427
",쿠칭",쿠칭,,Kuching,クチン,古晋,古晉,../cms/textset/Discovery.textset:3429
",킬와",킬와,,Kilwa,キルワ,基尔瓦,基爾瓦,../cms/textset/Discovery.textset:3433
",타간로크",타간로크,,Taganrog,タガンログ,塔甘罗格,塔甘羅格,../cms/textset/Discovery.textset:3437
",타마타브",타마타브,,Toamasina,トゥアマシナ,塔玛塔夫,塔瑪塔夫,../cms/textset/Discovery.textset:3439
",테르나테",테르나테,,Ternate,テルナーテ,特尔纳特,特爾納特,../cms/textset/Discovery.textset:3443
",툼베스",툼베스,,Tumbes,トゥンベス,通贝斯,通貝斯,../cms/textset/Discovery.textset:3449
",튀니스",튀니스,,Tunis,チュニス,突尼斯,突尼斯,../cms/textset/Discovery.textset:3451
",트라브존",트라브존,,Trabzon,トレビゾンド,特拉布宗,特拉布宗,../cms/textset/Discovery.textset:3453
",트루히요",트루히요,,Trujillo,トルヒーリョ,特鲁希略,特魯希略,../cms/textset/Discovery.textset:3455
",트리에스테",트리에스테,,Trieste,トリエステ,第里雅斯特,第里雅斯特,../cms/textset/Discovery.textset:3457
",트리폴리",트리폴리,,Tripoli,トリポリ,的黎波里,的黎波里,../cms/textset/Discovery.textset:3459
",카탄가",카탄가,,Khatanga,カタンガ,哈坦加,川湯格,../cms/textset/Discovery.textset:3461
",팀북투",팀북투,,Timbuktu,トンブクトゥ,廷巴克图,廷巴克圖,../cms/textset/Discovery.textset:3447
",파나마",파나마,,Panama,パナマ,巴拿马,巴拿馬,../cms/textset/Discovery.textset:3463
",파루",파루,,Faro,ファロ,法罗,法羅,../cms/textset/Discovery.textset:3465
",안탈리아",안탈리아,,Antalya,アンタルヤ,安塔利亚,安塔利亞,../cms/textset/Discovery.textset:3467
",파사이",파사이,,Pasay,パサイ,帕赛,帕賽,../cms/textset/Discovery.textset:3469
",팔렘방",팔렘방,,Palembang,パレンバン,巨港,巨港,../cms/textset/Discovery.textset:3471
",팔마",팔마,,Palma,パルマ,帕尔玛,帕爾瑪,../cms/textset/Discovery.textset:3473
",페구",페구,,Pegu,ペグー,勃固,勃固,../cms/textset/Discovery.textset:3475
",페르남부쿠",페르남부쿠,,Pernambuco,ペルナンブーコ,伯南布哥,伯南布哥,../cms/textset/Discovery.textset:3477
",코르프",코르프,,Korf,コルフ,科尔夫,科孚島,../cms/textset/Discovery.textset:3479
",포르토벨로",포르토벨로,,Portobelo,ポルトベロ,波多贝罗,波多貝羅,../cms/textset/Discovery.textset:3481
",아비앗",아비앗,,Arviat,アルヴィアット,亚怀亚特,亞懷亞特,../cms/textset/Discovery.textset:3485
",영일",영일,,Yeongil,迎日,迎日,迎日,../cms/textset/Discovery.textset:3353
",퐁디셰리",퐁디셰리,,Pondicherry,ポンディシェリ,本地治里,本地治里,../cms/textset/Discovery.textset:3489
",플리머스",플리머스,,Plymouth,プリマス,普利茅斯,普利茅斯,../cms/textset/Discovery.textset:3493
",피사",피사,,Pisa,ピサ,比萨,比薩,../cms/textset/Discovery.textset:3495
",핀자라",핀자라,,Pinjarra,ピンジャラ,平哈拉,平哈拉,../cms/textset/Discovery.textset:3497
",하노이",하노이,,Hanoi,ハノイ,河内,河內,../cms/textset/Discovery.textset:3499
",하바나",하바나,,Havana,ハバナ,哈瓦那,哈瓦那,../cms/textset/Discovery.textset:3321
",하와이",하와이,,Hawaii,ハワイ,夏威夷,夏威夷,../cms/textset/Discovery.textset:3509
",한양",한양,,Hanyang,漢陽,汉阳,漢陽,../cms/textset/Discovery.textset:3503
",함부르크",함부르크,,Hamburg,ハンブルク,汉堡,漢堡,../cms/textset/Discovery.textset:3505
",항주",항주,,Hangzhou,杭州,杭州,杭州,../cms/textset/Discovery.textset:3507
",덴헬데르",덴헬데르,,Den Helder,デン・ヘルダー,海尔德,海爾德,../cms/textset/Discovery.textset:3145
",호르무즈",호르무즈,,Hormuz,ホルムズ,霍尔木兹,荷姆茲,../cms/textset/Discovery.textset:3511
",호바트",호바트,,Hobart,ホバート,霍巴特,荷巴特,../cms/textset/Discovery.textset:3513
",홀로",홀로,,Jolo,ホロ,和鲁,和魯,../cms/textset/Discovery.textset:3515
",아투오나",아투오나,,Atuona,アツオナ,希瓦瓦,希瓦瓦,../cms/textset/Discovery.textset:3519
",히혼",히혼,,Gijón,ヒホン,希洪,希洪,../cms/textset/Discovery.textset:3521
",제주",제주,,Jeju,済州,济州,濟州,../cms/textset/Discovery.textset:3375
",마히나",마히나,,Mahina,マヒナ,马希纳,馬希納,../cms/textset/Discovery.textset:3523
",수바",수바,,Suva,スバ,苏瓦,蘇瓦,../cms/textset/Discovery.textset:3525
",나하",나하,,Naha,那覇,那霸,那霸,../cms/textset/CulturalArea.textset:35
",바그다드",바그다드,,Baghdad,バグダード,巴格达,巴格達,../cms/textset/Discovery.textset:3531
",레이캬비크",레이캬비크,,Reykjavík,レイキャビク,雷克雅未克,雷克雅維克,../cms/textset/Discovery.textset:3529
",율도",율도,,Yuldo,ユル島,栗岛,栗島,../cms/textset/CulturalArea.textset:31
",포트사이드",포트사이드,,Port Said,ポートサイド,塞得港,賽德港,../cms/textset/Discovery.textset:3535
",오호츠크",오호츠크,,Okhotsk,オホーツク,鄂霍次克,鄂霍次克,../cms/textset/Discovery.textset:3537
",체르스키",체르스키,,Chersky,チェルスキー,切尔斯基,切爾斯基,../cms/textset/Discovery.textset:3539
",카나크",카나크,,Qaanaaq,カーナーク,卡纳克,卡納哥,../cms/textset/Discovery.textset:3541
",캠브리지 베이",캠브리지 베이,,Cambridge Bay,ケンブリッジベイ,剑桥湾,劍橋灣,../cms/textset/Discovery.textset:3543
",바르도",바르도,,Vardø,ヴァードー,瓦尔德,瓦爾德,../cms/textset/Discovery.textset:3545
",포트피리",포트피리,,Port Pirie,ポートピリー,皮里港,皮里港,../cms/textset/Discovery.textset:3547
",에조",에조,,Ezo,蝦夷,虾夷,蝦夷,../cms/textset/Discovery.textset:3681
",산타섬",산타섬,,Santa Island,サンタ島,圣诞老人岛,聖誕島,../cms/textset/Discovery.textset:3683
",터코마",터코마,,Tacoma,タコマ,塔科马,塔科馬,../cms/textset/Discovery.textset:5594
",소다섬",소다섬,,Soda Island,ソーダ島,苏打岛,蘇打島,../cms/textset/Discovery.textset:3685
",말레",말레,,Malé,マレ,马累,馬列,../cms/textset/Discovery.textset:3695
",순위밖",순위밖,,Unranked,ランク外,排名之外,排名外,basedata1
",{0} 위",{0} 위,,Rank {0},{0}位,第{0}名,第{0}名,basedata2
",주간 투자 정산",주간 투자 정산,,Weekely Investment Calculation,週間投資精算,每周投资结算,每週投資結算,basedata3
",정산기간: {0} ~ {1} (이 보고서는 {2}주간만 보관됩니다.)",정산기간: {0} ~ {1} (이 보고서는 {2}주간만 보관됩니다.),,Calculation Period:  {0} - {1} (This report will remain only for {2} weeks),精算期間：{0}～{1}（このレポートは{2}週間のみ保存されます。）,结算时间：{0}～{1} (该报告书只保管{2}周。),結算時間：{0}～{1}（此報告僅保留{2}週。）,basedata4
",번호",번호,,Number,番号,编号,號碼,basedata5
",도시",도시,,City,都市,城市,城市,basedata6
",투자순위",투자순위,,Investment Rank,投資ランク,投资排名,投資排名,basedata7
",투자점수",투자점수,,Investment Score,投資ポイント,投资分数,投資分數,basedata8
",총계",총계,,Total,合計,总计,總計,basedata9
",블루젬",블루젬,,Blue Gem,ブルージェム,蓝钻,藍鑽,basedata10
",투자 시즌 2의 증표",투자 시즌 2의 증표,,Investment Season 2 Token,投資シーズン2の印,投资赛季2的信物,賽季2的信物,basedata11
",투자 시즌 2 상자",투자 시즌 2 상자,,Investment Season 2 Chest,投資シーズン2ボックス,投资赛季2箱子,投資賽季2箱子,basedata12
",두카트",두카트,,Ducat,ドゥカート,达克特,杜卡特,basedata13
